el article	el	article	masculine singular definite article; the		
genio noun	genio	noun	genius	Un genio no teme aprender de sus errores.	A genius is not afraid to learn from their mistakes.
traicionar verb	traicionar	verb	to betray, turn on	Jamás traicionaré a mi equipo.	I will never betray my team.
roto adj	roto	adj	broken	Los juguetes están rotos y viejos.	The toys are broken and old.
sastre noun	sastre	noun	tailor (person who makes, repairs, or alters clothes professionally)	xxx	xxx
roto noun	roto	noun	a broken thing or person	El sastre arregló los rotos del pantalón viejo.	The tailor mended the rips in the old pants.
misterio noun	misterio	noun	mystery, mysteriousness	Los niños leían sobre antiguos misterios.	The children were reading about ancient mysteries.
julio noun	julio	noun	July	En julio, muchas familias viajan.	In July, many families travel.
ama noun	ama	noun	lady of the house	Las amas de casa comparten recetas saludables.	Housewives share healthy recipes.
pistola noun	pistola	noun	pistol, handgun	El policía guardó su pistola con cuidado.	The police officer put away their pistol carefully.
colón noun	colón	noun	colón (currency)	Aceptan pagos en colones y dólares.	They accept payments in colones and dollars.
modelo noun	modelo	noun	model (a successful example to be copied)	La cooperativa funciona como modelo para otras comunidades.	The cooperative serves as a model for other communities.
lucir verb	lucir	verb	to shine	La luna luce brillante esta noche.	The moon looks bright tonight.
instituto noun	instituto	noun	institute	El instituto ofrece cursos de verano.	The institute offers summer courses.
espera noun	espera	noun	wait	Durante la espera, leí una revista.	During the wait, I read a magazine.
abrazar verb	abrazar	verb	to hug, to embrace (a person, an animal)	Quiero abrazar a mi mejor amigo.	I want to hug my best friend.
insistir verb	insistir	verb	to insist	Insistimos en revisar los detalles.	We insist on reviewing the details.
construcción noun	construcción	noun	construction	Visitaron construcciones antiguas durante el viaje.	They visited old buildings during the trip.
poesía noun	poesía	noun	poetry	Me gusta leer poesía cada noche.	I like to read poetry every night.
hundir verb	hundir	verb	to sink, engulf	La crisis podría hundir a la empresa.	The crisis could sink the company.
desnudo adj	desnudo	adj	naked, nude, undressed	Entraron desnudos porque olvidaron las toallas.	They entered naked because they forgot the towels.
desarrollar verb	desarrollar	verb	to develop	Estamos desarrollando un plan de estudio.	We are developing a study plan.
criticar verb	criticar	verb	to criticize	No critiques todo; ofrece soluciones también.	Don't criticize everything; offer solutions too.
seguramente adv	seguramente	adv	surely, certainly	Seguramente encontrarán una solución pronto.	They will surely find a solution soon.
investigar verb	investigar	verb	to investigate, to research	Estoy investigando cómo funciona este motor.	I am investigating how this engine works.
escena noun	escena	noun	scene	Recuerdo una escena graciosa de ayer.	I remember a funny scene from yesterday.
temblar verb	temblar	verb	to tremble, to quiver, to quake, to shudder, to cringe, to quail	Mis manos tiemblan cuando tengo frío.	My hands tremble when I'm cold.
capitán noun	capitán	noun	captain (leader)	Los capitanes deben dar ejemplo siempre.	Captains must always set an example.
hueso noun	hueso	noun	bone	Me rompí un hueso del brazo jugando.	I broke a bone in my arm while playing.
marrón adj	marrón	adj	brown (colour)	La mesa es de color marrón.	The table is brown.
marrón noun	marrón	noun	brown (colour)	El marrón es un color cálido.	Brown is a warm color.
término noun	término	noun	end, terminus (the terminal point of something in space or time)	Puso término a la discusión con una disculpa.	They put an end to the discussion with an apology.
presencia noun	presencia	noun	presence	Notamos su presencia en la reunión.	We noticed their presence at the meeting.
colección noun	colección	noun	collection	Su colección de libros creció rápidamente.	Their book collection grew rapidly.
cruel adj	cruel	adj	mean	No seas cruel con tus amigos.	Don't be cruel to your friends.
atractivo adj	atractivo	adj	attractive, appealing	Ese vestido rojo se ve muy atractivo.	That red dress looks very attractive.
atractivo noun	atractivo	noun	appeal, attractiveness, attraction	El atractivo de la ciudad crece cada verano.	The city's appeal grows every summer.
televisor noun	televisor	noun	television set, TV set, television receiver, television, (colloquial) telly (a device for receiving television signals and displaying them in visual form)	Ayer compramos un televisor nuevo para la sala.	Yesterday we bought a new television for the living room.
ácido adj	ácido	adj	sharp, tart	La naranja estaba poco ácida, casi dulce.	The orange was only slightly acidic, almost sweet.
ácido noun	ácido	noun	acid	El profesor explicó qué es un ácido.	The professor explained what an acid is.
vano adj	vano	adj	vain (pointless, futile)	Tus disculpas fueron vanas esta vez.	Your apologies were in vain this time.
vano noun	vano	noun	span (of a bridge, door)	El puente tiene un vano principal muy largo.	The bridge has a very long main span.
clásico adj	clásico	adj	classic	Prefiero la música clásica para concentrarme.	I prefer classical music to concentrate.
clásico noun	clásico	noun	derby (specifically in association football and one between two teams who are not from the same city or region)	Mañana veremos un clásico histórico entre equipos que no son de la misma ciudad.	Tomorrow we will see a historic classic between teams that are not from the same city.
bote noun	bote	noun	boat, dinghy	Nos subimos al bote para cruzar el río.	We got into the boat to cross the river.
punta noun	punta	noun	tip, point, end	No acerques la punta del cuchillo.	Don't bring the tip of the knife closer.
adelantar verb	adelantar	verb	to bring forward, advance, to move forward (in space or time)	Mañana adelantaremos el reloj una hora.	Tomorrow we will set the clock forward one hour.
teclado noun	teclado	noun	keyboard (of a typewriter, piano, computer, etc.)	El teclado de mi computadora está sucio.	My computer keyboard is dirty.
explotar verb	explotar	verb	to exploit	Buscan explotar el mercado internacional.	They seek to exploit the international market.
impulso noun	impulso	noun	drive, urge, impulse, pulse	xxx	xxx
asesino adj	asesino	adj	murderous, homicidal (intending, or likely to commit murder)	Mostraba impulsos asesinos durante las discusiones familiares.	They were showing murderous impulses during family arguments.
asesino noun	asesino	noun	murderer, killer (person who commits murder)	El asesino confesó su terrible crimen.	The killer confessed their terrible crime.
sabiduría noun	sabiduría	noun	wisdom	Ella buscó sabiduría en los libros.	She sought wisdom in books.
canto noun	canto	noun	singing	Tomé clases de canto para mejorar.	I took singing lessons to improve.
ministro noun	ministro	noun	minister	El ministro respondió a preguntas de periodistas.	The minister answered reporters' questions.
afirmar verb	afirmar	verb	to state, assert	Ella siempre afirma la verdad con calma.	She always states the truth calmly.
seguido adv	seguido	adv	often	Me llama seguido para pedir consejo.	He often calls me to ask for advice.
seguido adj	seguido	adj	consecutive	Ganamos tres partidos seguidos este mes.	We won three games in a row this month.
aun adv	aun	adv	even (implying an extreme example in the case mentioned)	Aun los expertos cometen errores.	Even experts make mistakes.
parecido adj	parecido	adj	similar	Tenemos acentos parecidos cuando hablamos rápido.	We have similar accents when we speak fast.
parecido noun	parecido	noun	resemblance	Observamos varios parecidos en sus costumbres.	We observed several similarities in their customs.
sobrino noun	sobrino	noun	nephew	Mi sobrino tiene ocho años y estudia.	My nephew is eight years old and he studies.
gemelo adj	gemelo	adj	twin	Mi hermano gemelo vive conmigo.	My twin brother lives with me.
gemelo noun	gemelo	noun	twin, especially an identical twin	Mi gemelo vive en Madrid.	My twin lives in Madrid.
directamente adv	directamente	adv	directly, firsthand	Habla directamente con el profesor.	He speaks directly with the professor.
sello noun	sello	noun	seal, sigil	El contrato llevaba el sello de la universidad.	The contract bore the university's seal.
rubio adj	rubio	adj	blond	Ella tiene el pelo rubio natural.	She has natural blonde hair.
rubio noun	rubio	noun	a blond (or blonde) person	El rubio llegó tarde a clase.	The blond man arrived late to class.
crédito noun	crédito	noun	credit	Perdió créditos por entregar tarde.	He lost credits for submitting late.
máximo adj	máximo	adj	maximum	Hoy la temperatura máxima alcanzará los treinta grados.	Today the maximum temperature will reach thirty degrees.
máximo noun	máximo	noun	maximum	El máximo de la función es tres.	The maximum of the function is three.
desconocido adj	desconocido	adj	unknown, undisclosed, unbeknownst	Las consecuencias desconocidas del cambio preocupan.	The unknown consequences of the change are worrying.
desconocido noun	desconocido	noun	unknown	Un desconocido llamó a mi puerta.	A stranger knocked on my door.
roca noun	roca	noun	rock	La roca es dura y pesada.	The rock is hard and heavy.
sensación noun	sensación	noun	sensation	Busco la sensación de paz interior.	I seek the feeling of inner peace.
curiosidad noun	curiosidad	noun	curiosity	Por curiosidad, hice muchas preguntas.	Out of curiosity, I asked many questions.
etiqueta noun	etiqueta	noun	label, tag	Pegué una etiqueta con mi nombre en la caja.	I stuck a label with my name on the box.
arrancar verb	arrancar	verb	to pull out	Ella arrancaba las etiquetas de la ropa nueva.	She used to tear the tags off new clothes.
bebido adj	bebido	adj	drunk	Llegó bastante bebido a la fiesta.	He arrived quite drunk to the party.
patio noun	patio	noun	yard, patio	Tomamos café y conversamos en el patio.	We had coffee and talked on the patio.
tragar verb	tragar	verb	to swallow (to cause to pass from the mouth into the stomach)	Me cuesta tragar cuando estoy resfriado.	It's hard for me to swallow when I have a cold.
informar verb	informar	verb	to inform	El director informó a todos hoy.	The director informed everyone today.
representar verb	representar	verb	to represent	Estábamos representando escenas históricas para el público.	We were reenacting historical scenes for the public.
vago adj	vago	adj	vague	Su explicación fue demasiado vaga.	Their explanation was too vague.
vago noun	vago	noun	wanderer	El vago pedía direcciones hacia la próxima estación.	The bum was asking for directions to the next station.
barba noun	barba	noun	beard	Mi abuelo tiene una barba muy larga.	My grandfather has a very long beard.
prender verb	prender	verb	to catch, to arrest	Ayer prendieron a los sospechosos.	Yesterday they arrested the suspects.
sueldo noun	sueldo	noun	salary	Mi sueldo no alcanza para todo.	My salary isn't enough for everything.
mancha noun	mancha	noun	spot; stain; blemish	Las manchas de vino son difíciles de quitar.	Wine stains are hard to remove.
automóvil noun	automóvil	noun	automobile	Ella aprendió a conducir un automóvil.	She learned to drive a car.
autoridad noun	autoridad	noun	authority (persons in command)	Las autoridades locales investigan el caso.	The local authorities are investigating the case.
alquilar verb	alquilar	verb	to rent	Mañana alquilaremos un coche pequeño.	Tomorrow we will rent a small car.
ilegal adj	ilegal	adj	illegal, unlawful	Construir sin permisos adecuados es ilegal.	Building without proper permits is illegal.
cable noun	cable	noun	cable, cord	Compré un cable más largo.	I bought a longer cable.
literatura noun	literatura	noun	literature	Estudio literatura española en la universidad.	I study Spanish literature at the university.
apoyo noun	apoyo	noun	support	Necesitamos más apoyo financiero hoy.	We need more financial support today.
humo noun	humo	noun	smoke	El humo salía de la chimenea.	The smoke was coming out of the chimney.
baja noun	baja	noun	casualty, loss	En el accidente hubo varias bajas.	There were several casualties in the accident.
auténtico adj	auténtico	adj	authentic, real, true (conforming to reality and therefore worthy of trust)	Ella siempre muestra una sonrisa auténtica.	She always shows a genuine smile.
tesoro noun	tesoro	noun	treasure, trove, treasure trove	Protegieron el tesoro con trampas y guardias.	They protected the treasure with traps and guards.
ambiente noun	ambiente	noun	atmosphere	El concierto creó un ambiente emocionante.	The concert created an exciting atmosphere.
alegre adj	alegre	adj	joyful, cheerful	Me siento alegre cuando escucho música.	I feel happy when I listen to music.
vetar verb	vetar	verb	to veto	Si aprueban eso, lo vetaremos.	If they approve that, we will veto it.
europeo adj	europeo	adj	European	Estudiamos la historia europea en clase hoy.	We studied European history in class today.
europeo noun	europeo	noun	European	Conocí a varios europeos en el museo.	I met several Europeans at the museum.
tortuga noun	tortuga	noun	turtle	Las tortugas pueden vivir muchos años.	Turtles can live many years.
empeorar verb	empeorar	verb	to worsen, to make worse, to exacerbate	El tráfico empeoró por el accidente.	The traffic got worse because of the accident.
generación noun	generación	noun	generation	La generación digital creció con internet.	The digital generation grew up with the internet.
calcetín noun	calcetín	noun	sock	Perdí uno de mis calcetines favoritos.	I lost one of my favorite socks.
comercial adj	comercial	adj	commercial	En la zona comercial abren muy temprano.	In the shopping district they open very early.
comercial noun	comercial	noun	commercial, advert	Vimos un comercial de televisión divertido anoche.	We saw a funny TV commercial last night.
cobrar verb	cobrar	verb	to charge (money, etc.)	¿Cuánto piensas cobrar por tu trabajo?	How much do you plan to charge for your work?
locura noun	locura	noun	madness, craziness	Esa decisión fue una locura total.	That decision was total madness.
aplicar verb	aplicar	verb	to use, to apply	Ayer apliqué pintura nueva en la pared.	Yesterday I applied new paint to the wall.
incorrecto adj	incorrecto	adj	wrong, incorrect	Tu respuesta es incorrecta en matemáticas.	Your answer is incorrect in math.
tecnología noun	tecnología	noun	technology	La tecnología médica salva muchas vidas.	Medical technology saves many lives.
disponer verb	disponer	verb	to prepare, arrange	Dispongo la mesa antes de cenar.	I set the table before dinner.
apellido noun	apellido	noun	surname, last name	Su apellido está mal escrito.	Their last name is misspelled.
uniforme adj	uniforme	adj	uniform, even	Los resultados fueron uniformes entre los grupos.	The results were uniform across the groups.
uniforme noun	uniforme	noun	uniform, dress uniform	Perdí mi uniforme y necesito otro.	I lost my uniform and I need another.
pradera noun	pradera	noun	grassland, prairie, pasture	xxx	xxx
zorro noun	zorro	noun	fox (carnivore)	El zorro rojo vive en bosques y praderas.	The red fox lives in forests and prairies.
zorro adj	zorro	adj	clever, crafty, sly	Mi jefe es zorro en cada reunión difícil.	My boss is cunning in every difficult meeting.
coleccionar verb	coleccionar	verb	to collect (to accumulate a number of similar or related objects, particularly for a hobby or recreation)	Mi hermana colecciona sellos de países.	My sister collects stamps from countries.
gota noun	gota	noun	a drop or small amount of	No quedaba ni una gota de agua.	There wasn't a single drop of water left.
confirmar verb	confirmar	verb	to confirm	¿Puedes confirmar si llega hoy?	Can you confirm whether it arrives today?
recientemente adv	recientemente	adv	recently	He estado muy ocupado recientemente.	I have been very busy recently.
cigarrillo noun	cigarrillo	noun	cigarette	En este restaurante no se permiten cigarrillos.	Cigarettes are not allowed in this restaurant.
mezclar verb	mezclar	verb	to mix	No mezcles estas cuentas; están ordenadas por fecha.	Don't mix these bills; they are sorted by date.
infierno noun	infierno	noun	hell	Este tráfico es un infierno diario.	This traffic is a daily hell.
lamentar verb	lamentar	verb	to lament, to regret	Siempre lamentamos las oportunidades perdidas.	We always regret missed opportunities.
generalmente adv	generalmente	adv	generally, normally	Generalmente estudio por las tardes.	I generally study in the afternoons.
estupidez noun	estupidez	noun	stupidity (the property of being stupid)	Esa estupidez nos costó mucho dinero.	That stupidity cost us a lot of money.
mayo noun	mayo	noun	May	Mi cumpleaños es en mayo.	My birthday is in May.
esencial adj	esencial	adj	essential	Es esencial dormir bien cada noche.	It is essential to sleep well every night.
hierro noun	hierro	noun	iron (chemical element)	El hierro es un metal esencial para la sangre.	Iron is an essential metal for blood.
cero num	cero	num	zero	Tenemos cero manzanas en casa.	We have zero apples at home.
cero noun	cero	noun	zero	Cero es menor que uno.	Zero is less than one.
evento noun	evento	noun	event	El evento comenzó a tiempo ayer.	The event started on time yesterday.
altavoz noun	altavoz	noun	loudspeaker, speaker (an electromechanical transducer that converts an electrical signal into audible sound), loudspeaker, speaker enclosure, speaker cabinet (an encasing containing one or more loudspeaker devices and usually other electrical equipment such as a driver), speakerphone, speaker (a loudspeaker on a telephone that broadcasts the sound, to use handsfree)   	xxx	xxx
portátil adj	portátil	adj	portable	Llevo un altavoz portátil a la playa.	I take a portable speaker to the beach.
portátil noun	portátil	noun	notebook, laptop (computer)	Compré un portátil usado para la universidad.	I bought a used laptop for university.
batería noun	batería	noun	large and rechargeable battery	Compré una batería nueva para el portátil de la oficina.	I bought a new battery for the office laptop.
atado adj	atado	adj	biased, confused, tied, tied up, tied down, timid	xxx	xxx
cadena noun	cadena	noun	chain (series of interconnected rings or links usually made of metal)	El perro estaba atado con una cadena de metal.	The dog was tied with a metal chain.
corregir verb	corregir	verb	to correct	¿Puedes corregir este texto conmigo?	Can you correct this text with me?
incómodo adj	incómodo	adj	uncomfortable	Me siento incómodo hablando de dinero.	I feel uncomfortable talking about money.
pila noun	pila	noun	small battery	Necesito una pila nueva para el reloj.	I need a new battery for the watch.
democracia noun	democracia	noun	democracy (rule by the people)	La democracia requiere elecciones libres y justas.	Democracy requires free and fair elections.
componer verb	componer	verb	to compose (write music)	Cada verano compongo canciones para niños.	Every summer I compose songs for children.
comprobar verb	comprobar	verb	to check, to check on, to check out, to see, to check to see (examine)	Quiero comprobar si hay errores.	I want to check if there are any mistakes.
cocinero noun	cocinero	noun	cook	El cocinero prepara la cena cada noche.	The cook prepares dinner every night.
gobernar verb	gobernar	verb	to govern	Ellos gobernarán mejor si escuchan.	They will govern better if they listen.
ingenuo adj	ingenuo	adj	naive, ingenuous, candid, innocent	Parecen ingenuas, pero son listas.	They seem naive, but they are smart.
ingenuo noun	ingenuo	noun	naif	El ingenuo creyó todas las promesas.	The naive one believed all the promises.
inclinar verb	inclinar	verb	to tilt	Si inclinas el libro, verás mejor.	If you tilt the book, you'll see better.
junio noun	junio	noun	June	Mi cumpleaños es en junio.	My birthday is in June.
defecto noun	defecto	noun	defect, fault, deficiency	Todos tenemos defectos que podemos mejorar.	We all have flaws that we can improve.
verbo noun	verbo	noun	verb	El verbo principal indica la acción.	The main verb indicates the action.
gatito noun	gatito	noun	kitten (young cat)	Los gatitos juegan con una pelota.	The kittens play with a ball.
suspender verb	suspender	verb	to suspend	Decidieron suspender la reunión por la lluvia.	They decided to cancel the meeting because of the rain.
pedazo noun	pedazo	noun	piece, chunk, hunk, bit, bite (a part of a larger whole)	Ella mordió un pedazo de manzana.	She bit a piece of apple.
bota noun	bota	noun	boot	Lleva botas altas en invierno.	She wears tall boots in winter.
agradecido adj	agradecido	adj	grateful, thankful, appreciative, obliged, indebted	Estoy muy agradecido por tu ayuda.	I am very grateful for your help.
marcha noun	marcha	noun	march	La marcha por la paz reunió a miles de personas.	The march for peace brought together thousands of people.
milagro noun	milagro	noun	miracle	Celebramos los pequeños milagros de cada día.	We celebrate the small miracles of each day.
instrumento noun	instrumento	noun	instrument	Necesito un instrumento adecuado para medir la temperatura.	I need a suitable instrument to measure the temperature.
salón noun	salón	noun	living room; sitting room; parlor; drawing room	Vamos al salón a ver la televisión.	Let's go to the living room to watch television.
presión noun	presión	noun	pressure	Hoy he sentido mucha presión en el trabajo.	Today I have felt a lot of pressure at work.
ciertamente adv	ciertamente	adv	certainly	Ciertamente tienes razón en eso.	You are certainly right about that.
sordo adj	sordo	adj	deaf	El maestro aprendió frases útiles para los alumnos sordos.	The teacher learned useful phrases for deaf students.
sordo noun	sordo	noun	deaf person	Invitamos al sordo a compartir su experiencia.	We invited the deaf person to share their experience.
partida noun	partida	noun	departure	Confirmaron la hora de partida del vuelo.	They confirmed the departure time of the flight.
egipcio adj	egipcio	adj	Egyptian	El arte egipcio fascina a mucha gente.	Egyptian art fascinates many people.
egipcio noun	egipcio	noun	Egyptian (language)	Estudiamos el egipcio clásico en la universidad.	We study Classical Egyptian at the university.
apariencia noun	apariencia	noun	appearance (personal presence)	Las apariencias pueden engañar a cualquiera.	Appearances can deceive anyone.
dividir verb	dividir	verb	to divide	Ella divide la cuenta entre todos.	She splits the bill among everyone.
virtud noun	virtud	noun	virtue	Su mayor virtud es escuchar con atención.	Their greatest virtue is listening attentively.
mascota noun	mascota	noun	pet	Mi mascota duerme en su cama.	My pet sleeps in its bed.
coincidir verb	coincidir	verb	to coincide	Coincido contigo en ese punto.	I agree with you on that point.
producción noun	producción	noun	production	Mejoramos la producción con nuevas máquinas.	We improved production with new machines.
código noun	código	noun	code	Necesito el código de acceso correcto.	I need the correct access code.
cortina noun	cortina	noun	curtain	Cerré la cortina para dormir mejor.	I closed the curtain to sleep better.
práctica noun	práctica	noun	practice	La práctica diaria mejora tus habilidades.	Daily practice improves your skills.
rata adj	rata	adj	stingy, miserly, tight-fisted	Eres muy rata con el dinero.	You're very stingy with money.
eterno adj	eterno	adj	eternal	Sus amistades eternas nos inspiran mucho.	Their lifelong friendships inspire us a lot.
infinito adj	infinito	adj	infinite	Tienes infinitas opciones para resolver este problema.	You have infinite options to solve this problem.
infinito noun	infinito	noun	infinity	El infinito me fascina desde niño.	Infinity has fascinated me since I was a child.
ingreso noun	ingreso	noun	entrance, ingress	Necesitas un permiso de ingreso para la biblioteca.	You need an entry permit for the library.
masa noun	masa	noun	dough	La masa madre alimenta nuestro pan.	Sourdough starter leavens our bread.
mejilla noun	mejilla	noun	cheek	Sus mejillas se pusieron rojas de vergüenza.	Their cheeks turned red with embarrassment.
gramática noun	gramática	noun	grammar (rules for speaking and writing a language)	La gramática del español tiene reglas claras.	Spanish grammar has clear rules.
camiseta noun	camiseta	noun	T-shirt	Sus camisetas favoritas están limpias ahora.	Their favorite T-shirts are clean now.
bromear verb	bromear	verb	to joke, to kid (to do or say something for amusement)	Estaban bromeando mientras esperaban el autobús.	They were joking while they waited for the bus.
sugerir verb	sugerir	verb	to suggest	¿Podrías sugerir otra opción mejor?	Could you suggest another, better option?
capturar verb	capturar	verb	to catch, trap, capture	Me capturaron cuando intentaba escapar.	They captured me when I was trying to escape.
mosquito noun	mosquito	noun	gnat	Los mosquitos salen más al atardecer.	Mosquitoes come out more at dusk.
símbolo noun	símbolo	noun	symbol	Aprendimos los símbolos matemáticos en clase.	We learned the mathematical symbols in class.
habitante adj	habitante	adj	inhabiting; said of something that inhabits	Las aves habitantes del bosque cantan.	The forest-dwelling birds sing.
habitante noun	habitante	noun	inhabitant	Ningún habitante conocía la noticia.	No resident knew about the news.
militar adj	militar	adj	military	Ella compró un uniforme militar.	She bought a military uniform.
militar noun	militar	noun	soldier	El militar saludó a sus superiores.	The service member saluted his superiors.
militar verb	militar	verb	to participate actively in a political organization, especially in the military	Milité cinco años en el Ejército Nacional.	I served five years in the National Army.
típico adj	típico	adj	typical (characteristically representing something by form, group, idea or type)	Probamos dulces típicos en el mercado local.	We tried traditional sweets at the local market.
típico noun	típico	noun	a dance and music style from Panama	Aprendí a bailar el típico cuando era niño.	I learned to dance the típico when I was a child.
ideal adj	ideal	adj	ideal	Encontramos el regalo ideal para mamá.	We found the ideal gift for Mom.
ideal noun	ideal	noun	ideal	Busco un ideal a seguir.	I'm looking for an ideal to follow.
ah intj	ah	intj	ah (expression of relief, realization, awe)	Ah, ya entiendo lo que decías.	Ah, now I understand what you were saying.
cobarde adj	cobarde	adj	cowardly, craven, gutless, spineless, dastardly	Preferimos respuestas valientes, no cobardes.	We prefer brave answers, not cowardly ones.
cobarde noun	cobarde	noun	coward, chicken, wimp, poltroon	Un cobarde siempre inventa excusas.	A coward always makes up excuses.
encuentro noun	encuentro	noun	encounter, meeting	El encuentro de hoy terminó antes del almuerzo.	Today's meeting ended before lunch.
colega noun	colega	noun	colleague	Compartí el almuerzo con dos colegas simpáticos.	I shared lunch with two nice colleagues.
norma noun	norma	noun	rule, norm, standard, touchstone	Debes respetar las normas de seguridad.	You must follow the safety regulations.
paloma noun	paloma	noun	dove, pigeon	Observamos una paloma bebiendo agua en la fuente.	We observed a pigeon drinking water at the fountain.
obvio adj	obvio	adj	obvious	Es obvio que necesitas descansar.	It's obvious that you need to rest.
arrepentirse verb	arrepentirse	verb	to regret	Nos arrepentimos de no haberte llamado.	We regret not calling you.
versión noun	versión	noun	version	Necesito una versión en español.	I need a version in Spanish.
desarrollo noun	desarrollo	noun	development	Planeamos el desarrollo de la comunidad.	We planned the community's development.
grano noun	grano	noun	grain (a single similar particle of various substances)	Colocó un grano de sal sobre la mesa.	He placed a grain of salt on the table.
ausente adj	ausente	adj	absent	Estaba tan ausente que no respondió.	He was so absent-minded that he didn't respond.
carga noun	carga	noun	load	El puente soporta una carga máxima.	The bridge supports a maximum load.
demonio noun	demonio	noun	demon, devil	Los demonios asustaron a los niños.	The demons scared the children.
aventura noun	aventura	noun	adventure	Compartieron muchas aventuras de la infancia.	They shared many childhood adventures.
guía noun	guía	noun	guide	El guía local respondió a nuestras dudas.	The local guide answered our questions.
niebla noun	niebla	noun	fog (a thick cloud that forms near the ground)	Había tanta niebla que no veíamos nada.	There was so much fog that we couldn't see anything.
materia noun	materia	noun	matter (the basic structural component of the universe)	La materia tiene masa y ocupa espacio.	Matter has mass and occupies space.
experimento noun	experimento	noun	experiment	En clase, hicimos un experimento sencillo.	In class, we did a simple experiment.
criminal adj	criminal	adj	criminal	El comportamiento criminal suele tener consecuencias.	Criminal behavior usually has consequences.
criminal noun	criminal	noun	criminal	Esos criminales actuaban en varios países.	Those criminals were operating in several countries.
ligero adj	ligero	adj	light, not heavy	Usa zapatos ligeros para caminar mucho.	Wear lightweight shoes for lots of walking.
estacionar verb	estacionar	verb	to park (to bring a vehicle to a halt in a specified place)	Voy a estacionar el coche aquí.	I'm going to park the car here.
aburrir verb	aburrir	verb	to bore; to tire	Las reuniones largas me aburren muchísimo.	Long meetings really bore me.
siesta noun	siesta	noun	siesta (a nap, especially an afternoon one taken during the hottest part of the day in some cultures)	En algunos países, toman la siesta diaria.	In some countries, they take a daily nap.
eh intj	eh	intj	hey! (used to call, draw attention, warn or reprehend)	Eh, escucha, necesito hablar contigo.	Hey, listen, I need to talk to you.
establecer verb	establecer	verb	to establish	Debes establecer límites saludables con amigos.	You should set healthy boundaries with friends.
imaginación noun	imaginación	noun	imagination	La ciencia también necesita imaginación para avanzar.	Science also needs imagination to advance.
inesperado adj	inesperado	adj	unexpected	Encontraron soluciones inesperadas durante la crisis.	They found unexpected solutions during the crisis.
asustado adj	asustado	adj	scared	Estoy asustado porque escuché ruidos.	I am scared because I heard noises.
cosecha noun	cosecha	noun	harvest, crop	Esa región perdió la cosecha por la sequía.	That region lost the harvest due to the drought.
billetera noun	billetera	noun	wallet	Perdí mi billetera en el supermercado.	I lost my wallet at the supermarket.
copa noun	copa	noun	stemmed glass, glass, goblet or its content	Tomó una copa de vino.	He had a glass of wine.
ritmo noun	ritmo	noun	rhythm	No puedo seguir tu ritmo.	I can't keep up with your pace.
aliento noun	aliento	noun	breath	Tomé aliento antes de hablar.	I took a breath before speaking.
conservar verb	conservar	verb	to conserve	Debemos conservar el agua en casa.	We must conserve water at home.
década noun	década	noun	decade	Durante la década pasada, mejoraron los servicios públicos.	During the past decade, public services improved.
correctamente adv	correctamente	adv	correctly	Ella pronunció correctamente todas las palabras.	She pronounced all the words correctly.
martes noun	martes	noun	Tuesday (the third day of the week in many religious traditions, and the second day of the week in systems that use the ISO 8601 norm; it follows Monday and precedes Wednesday)	El martes tenemos examen de matemáticas.	On Tuesday we have a math exam.
aumento noun	aumento	noun	increase	El aumento de los precios preocupa a muchas familias.	The rise in prices worries many families.
valioso adj	valioso	adj	valuable	Encontramos recursos valiosos durante la investigación.	We found valuable resources during the research.
fama noun	fama	noun	fame	Buscó la fama, pero halló responsabilidades.	He sought fame, but found responsibilities.
rezar verb	rezar	verb	to pray, especially to repeat or recite (rather than sing) a memorized prayer such as the Lord's Prayer, the Hail Mary, etc.	Vamos a rezar por los enfermos.	We are going to pray for the sick.
pasatiempo noun	pasatiempo	noun	pastime	Leer novelas es mi pasatiempo favorito.	Reading novels is my favorite hobby.
título noun	título	noun	title (honorary title)	Recibió un título de caballero por su servicio.	He received a knighthood for his service.
ola noun	ola	noun	wave (on the surface of a liquid)	Nadamos detrás de una gran ola.	We swam behind a big wave.
testigo noun	testigo	noun	witness (someone who sees something)	El testigo vio todo claramente.	The witness saw everything clearly.
condenar verb	condenar	verb	to condemn	Condenamos la violencia en cualquier forma.	We condemn violence in any form.
invitación noun	invitación	noun	invitation	Enviaré la invitación por correo electrónico.	I will send the invitation by email.
amenazar verb	amenazar	verb	to threaten	Nunca amenazaría a nadie por dinero.	I would never threaten anyone for money.
borde noun	borde	noun	edge, border, brink, verge, rim, margin	El pastel tiene azúcar en los bordes.	The cake has sugar on the edges.
deshacer verb	deshacer	verb	to undo, to unmake	Siempre intento deshacer los nudos rápidamente.	I always try to undo the knots quickly.
enterrar verb	enterrar	verb	to bury; to entomb	Ojalá enterremos los malos hábitos.	I hope we bury the bad habits.
poquito adj	poquito	adj	diminutive of poco, tiny, very small	Tengo poquito dinero este mes.	I have very little money this month.
poquito adv	poquito	adv	diminutive of poco (“very little, not much”)	Hablo poquito cuando estoy nervioso.	I speak very little when I'm nervous.
nacimiento noun	nacimiento	noun	birth, beginning, start	Desde su nacimiento, la empresa creció rápidamente.	From its inception, the company grew rapidly.
equipaje noun	equipaje	noun	luggage	Perdí mi equipaje en el aeropuerto.	I lost my luggage at the airport.
líder noun	líder	noun	leader (of a group of people, a sports team etc.)	Buscamos líderes honestos en nuestra comunidad.	We are looking for honest leaders in our community.
comunitario adj	comunitario	adj	community	xxx	xxx
